Date,News
2024-02-17,"Germany’s Scholz commits to spending 2% on defense ‘in the 2020s, in the 2030s and beyond’"
2024-02-12,Palestinian released in ceasefire caught trying to sneak into Israel
2024-02-08,"Killer whale pod trapped by sea ice in Japan has seemingly escaped, local official says"
2024-02-25,Ukraine warns of “retaliatory measures” if Poland does not end farmers’ border blockade
2024-02-26,Moscow ally Serbia cracks down on anti-war Russians living in the Balkan country
2024-02-25,"Jake Sullivan says U.S., Israel have agreed to 'basic contours' of a cease-fire deal"
2024-02-01,"Netanyahu tells UN envoys UNRWA is ‘totally infiltrated’ by Hamas, must be replaced"
2024-02-05,El Salvador President Bukele poised for a landslide as polls close
2024-02-26,NYT: CIA network of bases in Ukraine at risk if US does not pass aid
2024-02-23,UK firms make four-day workweek permanent after world’s biggest trial
2024-02-07,Russia attacks Kharkiv with North Korean missiles
2024-02-21,Feds charge Japanese Yakuza leader with nuclear materials trafficking
2024-02-23,It’s been two years since Russia's full-scale invasion of Ukraine. I lead The Wall Street Journal’s Ukraine coverage. AMA.
2024-02-11,"Israeli poll: Gantz holds lead over Netanyahu, public wants election - Israel Politics"
2024-02-16,ICJ rejects request to prevent Israeli operation in Rafah
2024-02-24,King Charles says Ukraine faces 'indescribable aggression'
2024-02-05,Six US-backed Kurdish fighters killed in drone attack on US base in Syria
2024-01-29,"Ancient rainforest to be restored in Devon, with 100,000 trees planted this winter"
2024-02-13,Israel releases video apparently showing Hamas leader Sinwar in tunnel
2024-02-02,Belgium summons Israeli ambassador after its building in Gaza is bombed
2024-02-07,Kenyan doomsday cult leader charged with murder of 191 children
2024-01-30,Foreign-born residents in Japan sue the government for alleged racial profiling
2024-02-12,"NATO Can't Be 'A La Carte,' Borrell Says"
2024-02-25,Hungary blocks EU leaders’ statement pledging support for Ukraine
2024-02-15,Top European rights court upholds Belgian ban on kosher slaughter
2024-02-07,Saudi Arabia tells US that Palestinian state necessary for relations with Israel
2024-02-14,Putin's Black Sea fleet 'suffers fresh blow with large landing ship hit' by Ukrainian sea drones
2024-02-10,"US aid ‘indispensable’ for defense of Ukraine, Scholz says"
2024-02-07,"Almost every Gaza home has tunnel shafts, IDF commander says"
2024-02-01,"Climate activist Greta Thunberg goes on trial in London for blocking oil and gas conference: Thunberg was among more than two dozen protesters arrested on Oct. 17 after preventing access to a hotel during the Energy Intelligence Forum, attended by the industry’s top executives"
2024-02-24,Dung dumped outside Russian ambassador's home in Poland on Ukraine war anniversary
2024-02-22,Alexei Navalny’s mother accuses Russian authorities of blackmailing her over son’s funeral
2024-02-16,Israel blasts top UN aid official after he says ‘Hamas is not a terrorist group for us’
2024-02-15,Estonia Says Russia Is Preparing For A Military Confrontation With The West
2024-02-10,Ukraine PM says Japanese companies can play big role in war recovery
2024-02-09,US approves $1.2 billion sale of military airships to Poland
2024-02-25,"Netanyahu: ‘Delusional claims’ from Hamas stopping cease-fire deal, ‘They’re on another planet’"
2024-02-06,Category six hurricane rating proposed as study warns of 'more intense' weather caused by climate change
2024-02-04,Houthis vow more Red Sea attacks after third wave of US-UK strikes on Yemen
2024-02-07,Israel kills head of Hamas police's special forces in Rafah
2024-02-12,"Dozens of civilians killed by Ethiopian state troops in Amhara region, say reports"
2024-02-06,Lukashenko allowed the army to shoot at civilians - decree
2024-01-31,Ukraine terror case against Russia largely rejected by ICJ
2024-02-18,Palestinian factions to meet in Moscow as west rejects Hamas role in ruling Gaza after war
2024-02-19,Armenia is not on Russia's side regarding the Ukraine issue – Armenian PM
2024-02-15,Gazan journalist says Hamas uses civilians as human shields
2024-01-31,Iran threatens to respond to any US strikes as Biden weighs how to react to a base attack in Jordan
2024-02-17,"Russia attempting to develop nuclear space weapon to destroy satellites with massive energy wave, sources familiar with intel say"
2024-02-06,EU Leaders Call on ‘Full Ban’ of Forever Chemicals After Testing Positive for Cancerous Pollutants
2024-01-30,Iraq's Kataib Hezbollah suspends attacks on US forces -statement
2024-02-01,Putin ally arrested in London on charge of breaching Russian sanctions
2024-02-13,Angry farmer protests are spreading across Europe — and getting results
2024-02-20,"Russia arrests dual US citizen Ksenia Karelina on accusations of treason for sending $50 to Razom for Ukraine, a nonprofit in New York that sends assistance to Ukraine"
2024-02-11,"Venezuela defends military buildup, accusing neighboring Guyana of granting illegal oil contracts"
2024-02-15,Zelnskyy Signs Law Legalizing Medical Marijuana in Ukraine
2024-02-11,"China, Russia and Iran 'attempting to illegally acquire' US technology, top DHS official says - ABC News"
2024-02-06,Russia sees sabotage of its ''elections'' in Baltic States and resorts to threats
2024-02-04,"Israel pulled out of Soleimani hit because Netanyahu 'got cold feet,' source says"
2024-02-14,"Northern Israel: 1 dead, 8 wounded following rocket barrage - I24NEWS"
2024-02-24,'Don't lose heart': NATO chief tells Ukraine and allies
2024-02-13,Victims of October 7 demand declaration of UNRWA as terror group
2024-02-08,Burning Alive in Myanmar: Two Resistance Fighters Executed in Public
2024-02-24,US and UK carry out fresh strikes on Houthi targets in Yemen
2024-02-18,Ukraine military says it repelled Russian offensive on southern front
2024-02-05,Germany launches major 4-day workweek trial amid labour shortage
2024-02-06,"Plan for Europe's huge new particle collider takes shape: Running under France and Switzerland, it would be more than triple the length of CERN's Large Hadron Collider"
2024-02-11,HMS Prince of Wales fails to depart for Nato exercises - BBC News
2024-02-03,ICJ rejects Russia’s claim that Ukraine’s Genocide Convention case against it is 'abuse of process'
2024-02-21,Australian bishop Christopher Saunders has been charged with rape and a string of sex offences - some against children.
2024-02-12,Turkmenistan Conducting Virginity Tests To 'Evaluate Teenagers' Morality'
2024-02-21,Israel to open another Gaza border crossing for humanitarian aid - report
2024-01-29,B.C. Hells Angel charged in plot to assassinate Iranian dissidents
2024-02-22,"Initial report from paramedics of suspected terror shooting near Jerusalem, 6 wounded"
2024-02-09,Ukraine accuses Russia of intensifying chemical attacks on the battlefield
2024-02-18,Russian forces try to storm Ukrainian positions in Kherson Oblast
2024-02-06,Lebanon rejects proposal for Hezbollah withdrawal from Israeli border ignoring UN Resolution 1701
2024-02-07,"Sweden ends Nord Stream sabotage probe, hands evidence to Germany"
2024-02-16,Ukrainian intelligence knows who poisoned spy chief's wife and hints at countermeasures in Russia
2024-02-13,"Yemen's Houthi rebels fire missiles at ship bound for Iran, their main supporter"
2024-02-06,Former Chilean president Sebastian Pinera dies in helicopter crash
2024-02-24,A young Arab woman seeks to make history by being voted into Jerusalem city council
2024-01-31,Armenia formally joins international criminal court in snub to Russia
2024-02-03,"U.S. Slaps Sanctions On Iranian Firms, Individuals Involved In Drones, Revolutionary Guard"
2024-01-31,US announces plans to reimpose oil sanctions on Venezuela
2024-01-29,'A blood libel': Israeli President Herzog says ICJ 'twisted my words' to support 'unfounded' contention
2024-02-14,Kremlin denies Reuters report that Putin offered a ceasefire in Ukraine
2024-02-09,"Ukrainian general wants Canada’s 83,000 decommissioned rockets"
2024-02-03,Northern Ireland elects first-ever Irish nationalist leader
2024-02-13,Global military spending hits record $2.2 trillion amid multiple wars
2024-02-11,Japan to pledge $106 mln in aid to Ukraine -Kyodo News
2024-02-25,"Hezbollah fires rockets, drone at Galilee as Israeli jets pounds southern Lebanon"
2024-02-17,Houthi attacks in Red Sea having a ‘catastrophic’ effect on aid to Sudan
2024-01-31,"Malian army and Russian Wagner group execute 25 ethnic Fulana people, including children, in Welingara village, according to Radio France Internationale local sources"
2024-02-05,Far-right Israeli minister's criticism of Biden and support for Trump draws local backlash
2024-01-28,Pakistan accuses India of extrajudicial killings on its territory
2024-02-01,Japan removes monument for Korean forced labor victims despite criticism
2024-02-22,"US promises new sanctions on Iran for its support of Russia's war in Ukraine, potential missile sale"
2024-02-18,US to block UN resolution for Gaza ceasefire as Israel bombs Rafah
2024-02-03,"Over 100,000 people gather in Berlin for latest rally against far-right AfD party"
2024-02-21,Turkey’s fifth-generation fighter plane takes off for maiden flight
2024-02-20,Kremlin rejects call for independent postmortem on opposition leader Alexei Navalny
2024-02-25,Ukraine's Defence Intelligence chief claims Navalny died of natural causes
2024-02-14,"NY Times: Tunnel under Al-Shifa Hospital used by Hamas ‘for cover, weapons storage’"
2024-02-12,"Revealed: the 1,200 big methane leaks from waste dumps trashing the planet"
2024-02-04,Iran denies that it seeks nuclear weapons and begins construction of four new nuclear plants
2024-02-01,Russian Citizen Collaborating With Ukrainian Partisans Sabotages Missile Transport Railway
2024-02-02,Women in Turkey win right to keep surnames after marriage
2024-02-05,Canada extends ban on foreign ownership of housing by two years
2024-02-01,New US-made longer-range bomb expected to arrive as soon as Wednesday in Ukraine
2024-02-20,CCTV cameras appear to capture Navalny's body being transported in midnight convoy
2024-02-02,Armenia can no longer rely on Russia for military and defence needs - PM Pashinyan
2024-02-18,"Qatari PM: Hostage deal shouldn’t be condition for truce, talks ‘not very promising’"
2024-02-20,Canada sending more than 800 drones to Ukraine to support its fight against Russia
2024-02-26,Sweden joins Nato: Leaders hail membership as 'win for West' against Russia
2024-01-30,Kremlin Now Going After Famed Anti-Putin Rockers—in Thailand
2024-02-08,Russia bans anti-war campaigner Boris Nadezhdin from running against Putin
2024-02-05,Ukraine’s Armed Forces report success near Klishchiivka
2024-02-06,Latvia reintroduces conscription to deter Russia from invading Europe
2024-01-29,Islamic State claims responsibility for deadly shooting at Istanbul church
2024-02-12,Houthis Claim Missile Strike On ‘American Ship’ In Red Sea—But U.K. Navy Says Cargo Ship Received Minor Damages
2024-02-18,"Ukraine accuses Russia of executing injured prisoners at Avdiivka, Vesele"
2024-02-08,"Ukrainian combat robot controlled by UAV engages Russian positions, first time in warfare history"
2024-02-17,Parts of Australia to soar over 50 degrees as heatwave grips state
2024-01-28,Finland goes to the polls as border tensions with Russia rise
2024-02-04,"Bird flu found in penguins near Antarctica, 200 chicks dead"
2024-02-25,Ukraine’s defence minister says half of western arms arrive later than promised
2024-02-18,Japan to launch world’s first wooden satellite to combat space pollution
2024-01-29,"Farmers encircle Paris with tractor barricades, vowing ‘siege’ over grievances"
2024-02-15,"Ukraine withdraws units from parts of Avdiivka, sends in crack brigade | Reuters"
2024-02-21,"Houthis Fire at Ship Carrying Humanitarian Aid to Yemen, US Says"
2024-02-09,"Pakistan in turmoil as Imran Khan leads election vote, despite being in jail"
2024-02-04,Russia and China compare notes on ‘military use of artificial intelligence’
2024-01-29,Police raid mansion of Jair Bolsonaro’s son as part of spying investigation
2024-02-09,Xi Tells Putin That Both Nations Need to Oppose Foreign Meddling
2024-02-07,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 714, Part 1 (Thread #860)"
2024-02-02,Turkish intelligence arrests several with 'ties to Mossad'
2024-02-15,IDF investigation: At least 10 hostages held in Khan Younis hospital
2024-02-01,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 708, Part 1 (Thread #854)"
2024-02-12,Germany starts work on ammo factory to counter new threats
2024-02-06,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 713, Part 1 (Thread #859)"
2024-02-09,"PM says IDF must operate in Rafah, but will let civilians evacuate first"
2024-02-24,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 731, Part 1 (Thread #877)"
2024-01-29,EU will force cosmetic companies to pay to reduce microplastic pollution
2024-02-11,"Fate of Avdiivka uncertain as Ukrainian forces defending it struggle with fortifications, resources"
2024-02-18,India freezes accounts of main opposition Congress party
2024-02-06,Toppling of one memorial to Korean forced laborers spawns call by Japanese lawmaker for more to come down
2024-02-04,"Japan, U.S., South Korea Swiftly Share Radar Info for First Time, Letting Japan Track North Korean Missile More Quickly"
2024-02-08,Zelenskiy Says Time for Renewed Leadership of Armed Forces
2024-02-05,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 712, Part 1 (Thread #858)"
2024-02-22,Russian priests sign open letter calling for Navalny’s body to be released to family
2024-02-23,Zelensky: All Ukrainians waiting for first F-16 fighters to arrive
2024-02-09,Putin signals he's open to prisoner swap for Wall Street Journal reporter Evan Gershkovich's release
2024-01-30,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 706, Part 1 (Thread #852)"
2024-02-04,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 711, Part 1 (Thread #857)"
2024-01-28,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 704, Part 1 (Thread #850)"
2024-02-14,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 721, Part 1 (Thread #867)"
2024-02-23,"Hungarian foreign minister visiting Iran for trade negotiations ""forgot"" that Tehran supplies Russia with weapons"
2024-02-08,Russian anti-war Putin rival Nadezhdin plans Supreme Court appeal after election ban
2024-02-02,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 709, Part 1 (Thread #855)"
2024-02-12,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 719, Part 1 (Thread #865)"
2024-02-24,Yulia Navalnaya demands ’Satanic’ Putin release her husband’s body
2024-02-02,Iranian Revolutionary Guard Adviser Killed in Alleged Israeli Strike on Damascus
2024-01-30,"Putin's income declaration published in Russia: he earned almost US$750,000 in six years"
2024-02-03,Germany launches major 4-day workweek trial amid labour shortage
2024-02-20,"Death of Ivan Sechin, son of Putin's ally and Rosneft CEO, under suspicious circumstances"
2024-02-04,Canada to sanction West Bank settlers and Hamas leaders
2024-02-01,"Iran pulls out senior IRGC officers, dozens more from Syria - report - I24NEWS"
2024-02-19,Atlantic ‘hurricane alley’ sees ominous mid-July heat in February
2024-02-10,Moroccan hash dealers boycott Israeli drug smugglers in support of Gaza
2024-02-19,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 726, Part 1 (Thread #872)"
2024-02-08,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 715, Part 1 (Thread #861)"
2024-02-16,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 723, Part 1 (Thread #869)"
2024-02-23,G20 says two-state solution only answer to Israel-Palestinian conflict
2024-02-20,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 727, Part 1 (Thread #873)"
2024-02-23,"Hungary buys Swedish fighter jets, prepares to approve NATO bid"
2024-02-15,"Backdoors that let cops decrypt messages violate human rights, EU court says"
2024-01-29,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 705, Part 1 (Thread #851)"
2024-02-09,Crisis builds around Hungary's president after she issued a pardon in a child sexual abuse case
2024-02-03,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 710, Part 1 (Thread #856)"
2024-02-22,Denmark Signs 10-year Security Agreement With Ukraine
2024-02-06,Hamas tunnel replica installed in front of the UN in Geneva
2024-02-12,Israel to act on soldier misconduct after BBC investigation
2024-02-10,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 717, Part 1 (Thread #863)"
2024-02-13,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 720, Part 1 (Thread #866)"
2024-02-07,"Facing harsh economic realities, more Korean couples saying 'I don't'"
2024-02-21,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 728, Part 1 (Thread #874)"
2024-02-20,Sweden boosts military aid to Ukraine with $682 million armament package
2024-02-09,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 716, Part 1 (Thread #862)"
2024-02-02,Ukraine support package worth €50bn agreed by EU leaders
2024-02-16,Netanyahu rejects unilateral Palestinian statehood after Biden call
2024-02-08,Iranian Finger Amputations Continue Against International Law
2024-02-18,Rheinmetall to open ammo factory in Ukraine in joint project
2024-02-17,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 724, Part 1 (Thread #870)"
2024-02-09,Pentagon and SpaceX respond to reports of Russia using Starlink
2024-02-15,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 722, Part 1 (Thread #868)"
2024-02-13,ICC Prosecutor threatens Israel with war crimes scrutiny if it invades Rafah
2024-02-09,"Malaysia's top court invalidates state's Islam-based laws on incest, sodomy and other offenses"
2024-01-29,Reaction to drone strike on US troops in Jordan
2024-02-26,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 733, Part 1 (Thread #879)"
2024-01-31,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 707, Part 1 (Thread #853)"
2024-02-23,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 730, Part 1 (Thread #876)"
2024-02-18,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 725, Part 1 (Thread #871)"
2024-02-06,Russia buys bananas from India after Ecuador military hardware spat
2024-02-15,Japan loses crown as world’s third-largest economy after it slips into recession
2024-02-25,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 732, Part 1 (Thread #878)"
2024-02-06,"Ukraine's Donetsk region pounded by up to 2,500 Russian strikes daily - governor"
2024-02-13,A new report says the world faces a ‘dangerous decade’ as instability and military spending rise
2024-02-22,U.S. Navy petty officer based in Japan charged with espionage
2024-02-22,Stoltenberg: Ukraine’s right to self-defense includes F-16 strikes on legitimate Russian military targets outside Ukraine
2024-02-22,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 729, Part 1 (Thread #875)"
2024-02-24,"EU to send almost 170,000 shells to Ukraine by end of March - Kuleba"
2024-02-09,"US, Qatar working to expel Hamas from Doha"
2024-02-19,Canada donating hundreds of drones to help war effort in Ukraine
2024-02-03,"Germany's coalition government reaches final deal on marijuana legalization bill, with vote set for this month"
2024-02-16,Swedish minister reaffirms willingness to send jets to Ukraine after finalizing NATO bid
2024-02-11,Japan allocates US$106 million to aid for Ukraine
2024-02-26,Several Indians discharged from Russian army following India's demand: MEA
2024-02-04,Nepal pitches itself as queer-friendly destination in bid to grow ‘pink economy’
2024-02-08,"Found in Gaza: Iranian envelopes stuffed with cash, bearing Sinwar's name - I24NEWS"
2024-02-21,Canada set to help bankroll massive ammunition shipments to Ukraine: sources | CBC News
2024-01-30,NATO chief: Support for Ukraine 'not charity'
2024-02-17,Former German spy chief founds new right-wing party
2024-02-11,"/r/WorldNews Live Thread: Russian Invasion of Ukraine Day 718, Part 1 (Thread #864)"
2024-02-06,Germany urges Orbán to ratify Sweden’s NATO bid as ‘a matter of loyalty’
2024-02-08,Front-line Ukrainian infantry units report acute shortage of soldiers
2024-02-07,Latvia to reinstate compulsory military service amid Russia’s war on Ukraine
2024-01-30,US disabled Chinese hacking network targeting critical infrastructure
2024-02-02,Reports of drug money in Mexican politics shake up relations with US
2024-02-08,Global temperatures breach 1.5C limit for 12 consecutive months
2024-02-24,Four Western leaders arrive in Kyiv to show solidarity on 2nd war anniversary
2024-02-10,China’s Xi calls for stronger ‘strategic coordination’ with Russia in Lunar New Year call with Putin | CNN
2024-02-24,"More than 1,000 arrested as China cracks down on rare protests in Tibet"
2024-02-05,"Italy will become a target should it join attacks against Yemen, Houthi leader says"
2024-02-20,"Farmers have interrupted transport of Ukrainian produce entering Poland, claiming unfair competition from cheaper goods. Meanwhile, tractors blocked city streets and major highways across the country"
2024-02-05,Orbán’s party boycotts a session of Hungary’s parliament to further stall Sweden’s bid to join NATO
2024-01-31,Boris Nadezhdin: Putin challenger submits bid to run for Russian president
2024-02-04,US and UK launch new attacks on Houthis in Yemen
2024-02-22,"Polish farmers’ protests “possibly influenced by Russian agents”, says foreign ministry after pro-Putin banner"
2024-01-30,Russia Hires Its Own Africa Army to Succeed Wagner’s Mercenaries
2024-02-13,Russia puts leader of NATO member Estonia on wanted list over removal of Soviet-era monuments
2024-02-07,End of nuclear secrecy? Underground tests now '99% detectable'
2024-02-24,"China arrests more than 1,000 Tibetans protesting Chinese dam project"
2024-01-29,Saudi Arabia condemns terrorist attack on US military base in Jordan
2024-02-21,"Mexican police confirm grisly gang video showing bodies kicked, burned and shot"
2024-02-07,Brussels launches legal action against Hungary's controversial 'sovereignty law'
2024-02-19,‘Europe must defend itself’: shadow of war in Ukraine looms over security conference
2024-02-12,"Hottest January on record sees the world reach 1.7°C warming mark | January was the hottest on record, at 1.7°C above the pre-industrial average for the month. This means there has been a 12-month period in which average global surface temperature was more than 1.5°C above the 1850 to 1900 average"
2024-02-15,"Iran-backed Houthi rebels are seizing on the Israel-Hamas war to recruit more child soldiers, watchdog reports"
2024-01-30,Ethiopia to ban importation of non-electric cars
2024-01-30,Iranian Drug Dealer Hired Hells Angels for US Assassination: Court Docs
2024-02-04,"Kremlin foe Navalny urges election day protests in Russia next month by voting at a specific hour, noon on March 17."
2024-02-19,EU moves closer to new Russia sanctions as Navalny widow pins blame on Putin
2024-02-07,US set to overtake China as Germany's top trade partner -DIHK
2024-02-17,Russia’s Opposition in Exile Calls on EU Not to Recognize Putin’s Election - The Moscow Times
2024-02-06,Israel tells families of 31 hostages their relatives are dead as Hamas mulls truce deal
2024-02-09,Kremlin Refuses to Say If Berlin Park Hitman Was Russian Agent
2024-01-29,Japan: Moon lander Slim comes back to life and resumes mission
2024-02-19,Brazil recalls ambassador to Israel in row over Lula's Gaza comments
2024-02-05,Pigeon detained on suspicion of spying released after eight months
2024-02-09,Whereabouts of 8 abducted Ukrainian kids traced in hackathon organized by Dutch police
2024-02-01,Russia hands out first convictions in connection with anti-LGBT law
2024-01-31,Putin challenger submits bid to run in Russian election – DW
2024-02-11,Finland votes: Stubb wins presidency
2024-02-24,Gigantic new anaconda species discovered in Amazon rainforest
2024-02-22,Denmark announces new aid package for Ukraine and F-16 delivery
2024-02-11,Biden warns Netanyahu against Rafah operation without ‘credible’ safety plan
2024-02-22,UK quits treaty that lets fossil fuel firms sue governments over climate policies
2024-02-16,"Ebola vaccine halves the chance of dying from the disease, says new study"
2024-02-04,Russian cosmonaut sets record for most time in space - more than 878 days
2024-01-30,US Open to Turkey F-35 Talks If Dispute Over Russian Air Defenses Is Resolved
2024-02-16,Macron says recognizing a Palestinian state 'not a taboo' for France
2024-02-10,The families of a few Israeli hostages don't want a deal to bring them home. They want Hamas crushed
2024-02-01,Kremlin Goes After Russians Abroad Who Criticize Putin’s War
2024-02-18,"Large Antigovernment Protest Returns to Tel Aviv, as Criticism of Netanyahu Mounts"
2024-02-02,"Poland wants “broadest possible EU sanctions” against Russia, says Prime Minister Tusk"
2024-01-31,Germany warns EU falling short on pledge to supply Ukraine with ammo
2024-01-28,'Zombie fires' are burning even in the winter amid Canada's record-setting fire season
2024-01-31,Israel tasks military to distribute aid directly to citizens in Gaza - report - I24NEWS
2024-02-25,Astronomers spot new tiny moons around Neptune and Uranus
2024-02-02,EU agrees new law granting consumers a ‘right to repair’ products
2024-02-14,Families of Gaza hostages head to ICC to file charges against Hamas
2024-02-14,US government guarantees EU’s gas supply: ‘We have more than adequate capacity to cover their needs’
2024-02-05,Ancient sea sponges at centre of controversial claim world has already warmed by 1.7C
2024-02-25,Hungary set to remove final barrier to Sweden joining Nato | Nato
2024-02-13,France accuses Russia of a disinformation campaign in a key election year
2024-02-24,Sweden: Eight in hospital after reports of unusual smell at Security Service headquarters
2024-02-02,Suspected Israeli airstrikes hit Iranian targets near Damascus - report - I24NEWS
2024-01-28,Germany: The AFD lost a district vote despite its candidate having a large lead two weeks ago. AfD has been the target of massive protests of late after a damning expose was published about its plans for deporting immigrants.
2024-02-15,France and Ukraine to sign a security agreement in Paris in the presence of President Zelenskyy
2024-02-18,"UK, Allies Look to Arm Ukraine With New AI-Enabled Swarm Drones"
2024-02-16,Zelensky signs law legalizing medical cannabis
2024-02-01,"Hamas gives initial approval for Gaza ceasefire, hostage deal - Qatar"
2024-01-30,"As Europe's armies brace for war, allies call on Canada and others to catch up"
2024-02-16,Iran Navy’s Plan To Establish A Military Presence In Antarctica Sparks Global Concerns
2024-02-10,Australia to invest a further $260m on next-generation military drones
2024-02-10,"North Korea welcomes Russian tourists, the first to visit since the pandemic"
2024-02-04,Germany sees surprising resurgence of trade unions
2024-02-16,"Ukraine's Zelenskiy heads to Berlin, Paris to drum up wartime aid"
2024-01-31,"Ethiopia hails return of its first plane, stolen by Mussolini in 1930s"
2024-02-14,"Two Chinese fishermen die after chase with Taiwan's Coast Guard, which alleges trespassing"
2024-02-07,Long-lost stained glass masterpiece discovered in Vilnius strip club
2024-02-11,Duolingo referred to Russia’s media watchdog over ‘LGBT propaganda’
2024-02-15,Stoltenberg: Ukraine to receive 1 million drones from allies in 2024
2024-02-20,"From prison, Navalny ally Ilya Yashin accuses Putin of murder, vows to fight on  "
2024-02-19,'Hostile elements' attempted to take over Israeli flight from Thailand
2024-02-16,970-metre-long prehistoric megastructure found submerged in Baltic Sea
2024-02-09,"Irish unification referendum by 2030, Sinn Fein leader tells Sky News"
2024-02-16,"Iran’s Revolutionary Guard On The Ground In Yemen To Assist Houthis, U.S. Official Says"
2024-02-15,Greece Legalizes Same-sex Marriage and Adoption
2024-02-13,Canada: second Sikh activist’s house hit by gunfire this month
2024-02-16,Russia tightens the noose on Ukraine's city of Avdiivka where outnumbered defenders are holding out
2024-02-12,"World temperatures go above 1.5 C warming threshold for a year: climate scientists | For the first time on record, global warming has exceeded temperatures of 1.5 C over a 12-month period, European Union climate scientists reported this week."
2024-01-29,Arab officials held secret meeting to discuss plans for post-war Gaza
2024-02-25,Serbia protests after Croatia's foreign minister calls Vučić a Russian 'satellite' in the Balkans
2024-02-07,Belgium bans import of hunting trophies from endangered species
2024-02-13,Climate experts sound alarm over thriving plant life at Greenland ice sheet
2024-02-09,"Tax Western firms doing business in Russia to help Ukraine, says EU commissioner"
2024-02-17,"Hungary can ratify Sweden’s NATO bid as soon as Feb 26, Orban says"
2024-02-10,Israeli strikes kill 44 Palestinians in Rafah after Netanyahu warns of ground invasion
2024-02-12,"Ukraine to produce thousands of long-range drones in 2024, minister says"
2024-02-04,First UK patients receive experimental messenger RNA cancer therapy
2024-02-24,Delhi approaches Moscow for early discharge of Indian ‘army helpers’
2024-02-05,Philippines says it is ready to use force to quell secession attempts as Duterte row deepens
2024-02-21,Trident missile misfired and crashed into ocean during rare test launch
2024-01-29,Iranian officials sanctioned after ITV News reveals plot to kill UK journalists
2024-01-29,Spain Extends Probe into Russian Involvement in Catalonian Independence Plans
2024-02-21,Police searched alleged Chinese overseas police base in Tokyo
2024-02-17,'Zombie Fires' burning at an alarming rate in Canada
2024-02-23,South Korea doctors’ strike: ‘severe’ public health alert issued for first time
2024-01-28,"North Korea fires cruise missiles off east coast, says South Korea"
2024-02-06,AI unlocks ancient text owned by Caesar's family
2024-02-17,Senior Pakistan official admits election rigging as protests grip country
2024-02-19,Iran commander requests Iraqi militia groups to “dial down attacks on US troops”
2024-01-31,Russian lawmakers approve confiscating the assets of citizens who discredit the army
2024-02-22,Russia Threatens Moldova With ‘Military Scenario’ Over Transnistria
2024-02-16,Israel finds boxes of medicine intended for Gaza hostages in hospital
2024-02-14,"Russia may double forces on NATO borders, Estonia warns"
2024-02-26,Hello Kitty theme park in Tokyo closed after ‘terrorist threat’
2024-02-05,A drone attack on the largest US military base in Syria has killed at least six allied Kurdish-led fighters
2024-02-20,Yulia Navalnaya urges EU not to recognise Putin’s ‘fake elections’
2024-01-29,Iran denies involvement in drone strike that killed three US troops
2024-02-18,Britain lets Ukrainian refugees stay for another 18 months
2024-02-25,"Iran conducts another military strike inside Pakistan, attacks terrorist group"
2024-02-14,Pro-Palestinian protestors removed from Parliament after interrupting proceedings
2024-02-18,German city of Dresden commemorates WWII bombing
2024-02-25,Only Ukraine's invitation to NATO will give the world real chances to return to true security – Yermak
2024-02-10,Burning Alive in Myanmar: Two Resistance Fighters Executed in Public
2024-01-31,Twelve tankers stranded with unsold Russian oil as sanctions enforcement limits sales
2024-02-23,Israeli researchers find breakthrough in lab-made sperm for infertile couples
2024-02-18,Israeli flight from Thailand faced attack by 'hostile elements' - report
2024-02-02,"While the World Looks Elsewhere, Iran Hurries Executions"
2024-02-16,Climate experts sound alarm over thriving plant life at Greenland ice sheet
2024-02-23,Smartphones to be banned in Italian classrooms
2024-02-18,"This Ancient Cave Art Passed Survival Information Across 130 Human Generations in Patagonia, Study Suggests"
